date,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,sub_metering_remainder
2006-12-16,1209.1760000000006,34.921999999999976,236.24376262626276,13.082828282828302,0.0,546.0,4926.0,14680.933333333334
2006-12-17,3390.46,226.0059999999994,240.08702777777793,9.999027777777764,2033.0,4187.0,13341.0,36946.666666666715
2006-12-18,2203.8259999999964,161.79199999999966,241.23169444444474,6.421666666666658,1063.0,2621.0,14018.0,19028.433333333334
2006-12-19,1666.1940000000006,150.94199999999978,241.99931250000026,4.926388888888899,839.0,7602.0,6197.0,13131.899999999996
2006-12-20,2225.747999999999,160.99799999999985,242.30806250000026,6.4673611111111065,0.0,2648.0,14063.0,20384.800000000014
2006-12-21,1717.1139999999994,144.16599999999997,241.04190277777738,5.028194444444446,1765.0,2623.0,10421.0,13809.56666666667
2006-12-22,2341.3379999999993,186.90600000000023,241.18454861111076,6.872916666666655,3151.0,350.0,11131.0,24390.300000000025
2006-12-23,4773.385999999998,221.4700000000001,240.13607638888902,14.028055555555559,2669.0,425.0,14726.0,61736.433333333356
2006-12-24,2550.012000000007,149.89999999999992,241.6874375000003,7.640416666666739,1703.0,5082.0,6891.0,28824.200000000004
2006-12-25,2743.1200000000053,240.27999999999986,243.3999305555553,7.951527777777767,6620.0,1962.0,5795.0,31341.66666666668
2006-12-26,3934.11,165.1019999999998,241.6254375,11.347916666666674,1086.0,2533.0,14979.0,46970.5
2006-12-27,1528.7600000000004,178.90200000000007,243.7673611111116,4.517499999999999,0.0,314.0,6976.0,18189.333333333376
2006-12-28,2072.638,208.8759999999999,243.26833333333332,6.086250000000001,2207.0,4419.0,9176.0,18741.966666666678
2006-12-29,3174.3919999999966,196.39400000000023,240.87130555555564,9.271388888888861,1252.0,5162.0,11329.0,35163.533333333326
2006-12-30,2802.336000000001,312.7199999999997,240.53597222222194,8.318888888888864,3147.0,7938.0,12515.0,23105.60000000005
2006-12-31,3494.1959999999995,150.85200000000012,239.8965763888888,10.199583333333335,0.0,347.0,6502.0,51387.60000000006
2007-01-01,2749.004000000016,148.16599999999983,240.12897916666685,7.9169444444444705,0.0,352.0,5880.0,39584.73333333333
2007-01-02,1269.2360000000006,190.34200000000055,241.94377777777765,3.7140277777777784,0.0,348.0,6562.0,14243.933333333314
2007-01-03,1014.0540000000005,196.7280000000004,243.557090277778,3.01402777777777,0.0,344.0,4765.0,11791.899999999992
2007-01-04,3259.4119999999907,202.30199999999982,239.75029861111113,9.478194444444444,1051.0,7597.0,10896.0,34779.53333333334
2007-01-05,2713.3639999999928,173.15399999999977,240.49576388888877,7.8851388888888945,1483.0,379.0,7602.0,35758.733333333366
2007-01-06,1508.3779999999997,192.18799999999942,239.6730555555553,4.543888888888884,1336.0,402.0,5678.0,17723.6333333333
2007-01-07,2447.620000000002,246.07400000000024,240.90248611111122,7.282638888888898,1987.0,8177.0,12810.0,17819.666666666668
2007-01-08,2241.3599999999974,207.5680000000003,239.576951388889,6.551666666666682,0.0,467.0,17547.0,19342.000000000033
2007-01-09,1869.053999999999,207.24800000000027,240.48752083333315,5.5211111111111055,1688.0,4267.0,9790.0,15405.900000000001
2007-01-10,2154.799999999996,228.4519999999994,241.02745138888903,6.357777777777788,771.0,4456.0,11012.0,19674.333333333307
2007-01-11,2255.1940000000004,230.01999999999998,241.1556874999998,6.658333333333322,1378.0,2170.0,12415.0,21623.56666666669
2007-01-12,1461.2960000000023,199.14000000000007,241.53820833333376,4.309166666666666,0.0,439.0,8276.0,15639.933333333334
2007-01-13,3186.813999999998,290.7359999999997,239.28361111111101,9.45305555555556,7806.0,2975.0,11341.0,30991.566666666677
2007-01-14,3011.028999999998,227.3770000000001,238.81780555555557,8.971666666666675,1777.0,4215.0,12991.5,31200.31666666665
2007-01-15,2148.677999999998,174.86000000000035,241.24090972222228,6.261527777777779,1099.0,2239.0,15163.0,17310.299999999992
2007-01-16,1686.4039999999998,185.42799999999988,241.9447569444445,4.975972222222223,2063.0,644.0,6583.0,18816.73333333334
2007-01-17,2847.6879999999987,200.75199999999992,241.0052499999998,8.283888888888871,3500.0,5737.0,16064.0,22160.466666666638
2007-01-18,1821.4620000000011,177.71199999999988,240.8935972222225,5.342499999999978,0.0,336.0,13491.0,16530.699999999983
2007-01-19,1480.4400000000028,170.05200000000036,240.16094444444425,4.376249999999998,2103.0,330.0,7172.0,15069.000000000022
2007-01-20,3133.7319999999963,238.3620000000003,238.86747222222237,9.348055555555536,4324.0,5222.0,11440.0,31242.866666666698
2007-01-21,3407.261999999998,229.7360000000004,238.96811805555566,10.190694444444453,10346.0,5567.0,11599.0,29275.69999999996
2007-01-22,2180.494,168.64200000000025,241.60313194444416,6.35527777777775,1054.0,2983.0,11361.0,20943.56666666668
2007-01-23,1777.6400000000003,138.27999999999986,242.7625555555554,5.26083333333336,0.0,1064.0,5061.0,23502.33333333339
2007-01-24,2987.853999999998,178.06000000000006,241.45769444444434,8.733611111111113,3464.0,2480.0,11744.0,32109.566666666622
2007-01-25,1596.3439999999975,144.16000000000005,243.42436111111107,4.629305555555553,1158.0,262.0,11239.0,13946.733333333344
2007-01-26,1617.9719999999984,142.90199999999993,242.7717916666665,4.721388888888897,1163.0,261.0,8238.0,17304.200000000008
2007-01-27,2044.0720000000008,148.2420000000001,241.61656944444428,5.949861111111129,1170.0,3896.0,12374.0,16627.866666666676
2007-01-28,3092.424999999989,153.6279999999999,240.30152083333257,9.133888888888887,3466.0,3997.5,12061.0,32015.91666666664
2007-01-29,1982.6640000000002,165.69599999999983,240.92959722222267,5.788888888888891,1123.0,294.0,15254.0,16373.399999999987
2007-01-30,1707.7979999999984,180.9340000000003,241.84087500000012,5.028194444444446,1123.0,1424.0,8149.0,17767.300000000003
2007-01-31,2363.7520000000013,185.98800000000043,239.9211319444446,6.92361111111111,0.0,5950.0,15052.0,18393.86666666665
2007-02-01,1824.76,150.2639999999999,240.39213888888895,5.3324999999999845,1170.0,386.0,13145.0,15711.666666666662
2007-02-02,1667.7359999999976,139.54200000000006,240.3343888888891,4.8708333333333185,0.0,356.0,11338.0,16101.599999999988
2007-02-03,4029.721999999996,245.82400000000007,238.9101944444446,11.815972222222237,4746.0,4573.0,17834.0,40009.03333333337
2007-02-04,3595.9400000000023,186.49400000000028,239.63333333333284,10.565416666666664,3391.0,4597.0,14472.0,37472.33333333331
2007-02-05,1645.2799999999997,147.22799999999984,240.81031249999998,4.820416666666669,896.0,2564.0,7849.0,16112.333333333323
2007-02-06,1273.4800000000005,142.566,241.2641597222219,3.7719444444444505,1185.0,405.0,4517.0,15117.666666666673
2007-02-07,2328.018000000001,177.70800000000034,241.14969444444452,6.7916666666666705,3299.0,3513.0,11986.0,20002.300000000014
2007-02-08,1801.4140000000002,138.89600000000024,241.79730555555554,5.248333333333321,2226.0,366.0,10157.0,17274.56666666667
2007-02-09,1620.198000000001,158.0660000000001,241.74044444444456,4.727222222222219,0.0,3045.0,9770.0,14188.299999999997
2007-02-10,2829.3279999999995,192.97399999999973,240.03682638888833,8.303749999999996,5071.0,2831.0,14405.0,24848.466666666664
2007-02-11,3571.2279999999987,204.3140000000003,239.50614583333302,10.526805555555542,2430.0,4765.0,13114.0,39211.466666666696
2007-02-12,1877.6100000000004,136.7039999999999,240.0984999999999,5.503472222222219,2227.0,399.0,11517.0,17150.500000000007
